Combinação_da_Pedra_Espiritual_II 10000 72
FFFFFFFF Possível_criar_uma_pedra_espiritual_mais
FFFFFFFF potente_atribuindo_opções_ao_utilizar
FFFFFFFF orbes_de_acessórios_ou_ankhs.
FFFFFFFF Dependendo_do_tipo_de_orbe_ou_de_ankh,
FFFFFFFF as_opções_atribuídas_serão_diferentes,
FFFFFFFF fundindo_as_pedras_espirituais_bem
FFFFFFFF sucedidas_entre_elas,_poder_aumentará
FFFFFFFF ainda_mais_o_valor_da_opção.
FFFFFFFF                                         
Refinação_Abençoada_Purificada 10001 516
FFFFFFFF Caso_esteja_refinando_a_partir
FFFFFFFF de_+12,_poderá_utilizar_este_item
FFFFFFFF no_lugar_da_pedra_secreta._Quanto_maior_o
FFFFFFFF nível_de_refinação_abençoada_purificada,
FFFFFFFF a_chance_de_sucesso_será_maior.
FFFFFFFF Apenas_personagens_celestiais_a_partir_do
FFFF0000 nível_200_poderá_realizar_esta_ação._São
FFFF0000 Necessários 30.000.000_pontos_de_exp.
FFFFFFFF (Impossibilitado_para_Hardcores)
Combinação_da_Troca_de_Alma 10002 859
FFFFFFFF Altera_a_alma_do_personagem_comum.
FFFFFFFF O_aumento_do_atributo_da_alma_é_relativo
FFFFFFFF ao_tipo_de_jóia_combinada.
FFFFFFFF                                       
FFFFFFFF                                      
FFFFFFFF                                    
FFFFFFFF                                    
FFFFFFFF                                    
FFFFFFFF                                                                        
Combinação_do_Item_Arch 10003 321
FFFFFFFF Poderá_atribuir_adicional_nos_equipamentos
FFFFFFFF Arch._Para_atribuir_adicional_nas_armaduras
FFFFFFFF de_alto_nível_arch,_é_necessário_um_item_+9
FFFFFFFF de_classe_D_ou_superior_e_4_pedras_da_luz.  
FFFFFFFF A_chance_de_sucesso_varia_de_acordo_com_o
FFFFFFFF nível_de_refinação_dos_itens_que
FFFFFFFF possuem_as_opções.
FFFFFFFF                                                                       
FFFFFFFF  
Criação_de_Item_Ancient 10004 192
FFFFFFFF As_Armas_refinadas_até_+9_podem_ser
FFFFFFFF transformadas_em_Ancient_utilizando_até_4
FFFFFFFF itens_com_refinação_a_partir_de_+7_e_utilizando
FFFFFFFF uma_jóia_específica._Um_item_ancient_adquirido
FFFFFFFF através_dessa_combinação_possui_um_poder
FFFFFFFF superior_aos_itens_normais,_possuindo
FFFFFFFF uma_habilidade_através_das_jóias_usadas.
FFFF0000 (Atualmente_apenas_as_armas
FFFF0000 podem_ser_combinadas)
Sistema_de_Refinação_+10 10005 433
FFFFFFFF Para_esse_procedimento,_são_necessários
FFFFFFFF 2_itens_iguais_+9._O_Adicional_do_Item_+10
FFFFFFFF pode_variar(Aumentar ou diminuir)_durante
FFFFFFFF a_composição.
FFFFFFFF Para_completar_essa_composição,_também
FFFFFFFF são_necessárias_4_joias_iguais_e_uma
FFFFFFFF pedra_do_sábio.
FFFFFFFF          
FFFF0000
Combinação_da_Pedra_Espiritual_I 10006 72
FFFFFFFF Utilizando_uma_pedra_espiritual_refinada
FFFFFFFF até_+9,_crie_uma_opção_poderosa_através_da
FFFFFFFF combinação._A_pedra_espiritual_criada_desta
FFFFFFFF maneira_possui_uma_opção_muito_mais_poderosa,
FFFFFFFF sua_opção_é_atribuída_aleatóriamente.
FFFFFFFF Combinação_pode_ser_realizada_somente_por
FFFFFFFF personagens_acima_do_356_Arch_com_a_quest
FFFFFFFF "Renascimento_do_Guerreiro_Berserker".
FFFF0000
Combinação_de_Item_Celestial 10007 298
FFFFFFFF Para_combinar_um_item_celestial,_é
FFFFFFFF necessário_um_item_selado_+9,_um_item_+15
FFFFFFFF de_arch_e_a_pedra_lunar_ou_a_jóia_da 
FFFFFFFF escuridão,_num_total_de_4_tipos_de
FFFFFFFF pedra_secreta.
FFFFFFFF                                 
FFFFFFFF                                          
FFFF0000    
FFFFFFFF                                                                        
Refinação_item_Arch_+12~+15 10008 384
FFFFFFFF Possível_aprimorar_um_item_com_a_refinação
FFFFFFFF +12_a_+15_combinando_os_itens_completos
FFFFFFFF num_nível_+11_junto_com_os_itens:
FFFFFFFF "Pedra_Secreta/Refinação_Abençoada"_e
FFFFFFFF Lactolerium/Emblema_da_Proteção".          
FFFFFFFF                        
FFFF0000 AVISO: Ao utilizar PL, em caso de falha o                                     
FFFF0000 item poderá ser destruido!!
FFFFFFFF                                      
Destravamento_Nv_Celestial_I 10009 357
FFFFFFFF A_partir_do_nível_40_a_experiência_não
FFFFFFFF poderá_mais_ser_obtida._Use_a_combinação
FFFFFFFF necessária_para_destravar_o_nível_para
FFFFFFFF poder_adquirir_a_experiência_novamente.
FFFF0000 Após_concluido,_poderá_aumentar_o
FFFFFFFF nível_adquirindo_a_exp_normalmente.
FFFFFFFF Ao_completar_a_combinação,_todos_os_itens
FFFF0000 do_slot_serão_destruídos. 
FFFFFFFF                                 
Destravamento_Nv_Celestial_II/Pedra_Secreta 10010 366
FFFFFFFF A_partir_do_nível_90,_não_será_mais_possível
FFFFFFFF adquirir_a_experiência._Para_destravar
FFFFFFFF o_ganho_de_experiência,_deve_combinar_os
FFFFFFFF 24_tipos_de_palavras_rúnicas_em_7_cada.
FFFFFFFF Caso_realize_a_combinação_correta,_poderá
FFFFFFFF gerar_4_pedras_secretas._Caso_falhe_na
FFFF0000 combinação,_todas_as_palavras_rúnicas_serão
FFFF0000 consumidas._Ao_completar_a_combinação,
FFFFFFFF todos_os_itens_do_slot_serão_destruídos.
Combinação_de_Capa 10011 629
FFFFFFFF Possível_combinar_as_capas_dos
FFFFFFFF celestiais_para_que_fique_mais
FFFFFFFF poderosa.
FFFFFFFF
FFFFFFFF
FFFFFFFF
FFFFFFFF
FFFFFFFF
FFFFFFFF
